lens_id,doc_key,residence,extracted_name,extracted_address,nimi,id
019-697-974-364-885,WO_2016086948_A1_20160609,EG,AL-TUHAMI AL-TUHAMI ABUZEID,,AL-TUHAMI AL-TUHAMI ABUZEID,
019-806-902-743-544,CN_114560663_A_20220531,,LTD.,,LTD.,
019-889-236-514-278,CN_109197500_A_20190115,,UNIV QUANZHOU NORMAL,,UNIV QUANZHOU NORMAL,
020-045-076-218-028,CN_214472599_U_20211022,,SHENZHEN HONGSHENG BUILDING MAT CO LTD,,SHENZHEN HONGSHENG BUILDING MAT CO LTD,
020-452-130-612-834,US_20210229664_A1_20210729,US,ALLEN ENG CORPORATION,,ALLEN ENG CORPORATION,
020-819-827-863-922,CN_112839917_A_20210525,,SIKA TECH AG,,SIKA TECH AG,
020-928-735-268-520,CN_204672463_U_20150930,,CMTCC SHANGHAI 13TH CONSTR CO,,CMTCC SHANGHAI 13TH CONSTR CO,
020-928-735-268-520,CN_204672463_U_20150930,,MCC TIANGONG GROUP CORP LTD,,MCC TIANGONG GROUP CORP LTD,
022-264-344-466-953,CN_204461962_U_20150708,,UNIV JIAOTONG SOUTHWEST,,UNIV JIAOTONG SOUTHWEST,
022-854-225-843-39X,WO_2022208343_A1_20221006,IN,ASIAN PAINTS LTD,,ASIAN PAINTS LTD,
023-201-058-186-107,US_20210340068_A1_20211104,DE,LEONHARD KURZ STIFTUNG & CO KG,,LEONHARD KURZ STIFTUNG & CO KG,
023-358-479-458-540,CN_105418013_A_20160323,,ZHEJIANG TIANLI NEW MAT CO LTD,,ZHEJIANG TIANLI NEW MAT CO LTD,
023-633-762-577-610,WO_2021149076_A1_20210729,IN,GREENJAMS BUILDTECH PRIVATE LTD,,GREENJAMS BUILDTECH PRIVATE LTD,
024-180-925-236-587,KR_102468337_B1_20221117,KR,KOREA INST CERAMIC ENG & TECH,,KOREA INST CERAMIC ENG & TECH,
024-782-493-366-430,CN_215289778_U_20211224,,GUANGDONG YUXING CONSTRUCTION ENG CO LTD,,GUANGDONG YUXING CONSTRUCTION ENG CO LTD,
024-917-930-170-897,US_20150086665_A1_20150326,DE,MONIER TECHNICAL CT GMBH,,MONIER TECHNICAL CT GMBH,
025-834-589-047-934,CN_115340332_A_20221115,,UNIV ANHUI SCI & TECHNOLOGY,,UNIV ANHUI SCI & TECHNOLOGY,
027-704-733-410-820,EP_2109644_B1_20190417,AT,ALLNEX AUSTRIA GMBH,,ALLNEX AUSTRIA GMBH,
